doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
hust-course-registration-20261,data\hust_services\hust-course-registration-20261.md,Kế hoạch mở đăng ký lớp học kỳ 1 năm học 2026-2027,https://ctt.hust.edu.vn/DisplayWeb/DisplayKehoach?kehoach=29240,8/3/2026,2026.1,public-page
hust-international-student-exchange,data\hust_services\hust-international-student-exchange.md,Chương trình trao đổi sinh viên quốc tế HUST,https://www.hust.edu.vn/vi/trao-doi-sinh-vien/,8/3/2026,not-stated,public-page
hust-math-course-supplementary-registration,data\hust_services\hust-math-course-supplementary-registration.md,Thông báo đăng ký bổ sung học phần môn Toán kỳ 2025.2,https://fami.hust.edu.vn/thong-bao-sinh-vien/thong-bao-dang-ky-bo-sung-cac-hoc-phan-mon-toan-ky-2025-2/,8/3/2026,2025.2,public-page
hust-scholarships,data\hust_services\hust-scholarships.md,Thông tin học bổng HUST,https://www.hust.edu.vn/vi/sinh-vien/hoc-bong-hoc-phi/hoc-bong-645445.html,8/3/2026,2025-06,public-page
hust-student-administrative-procedures,data\hust_services\hust-student-administrative-procedures.md,Quy trình ký xác nhận thủ tục hành chính sinh viên,https://hust.edu.vn/vi/sinh-vien/sinh-vien-hien-tai/quy-trinh-ky-xac-nhan-cac-thu-tuc-hanh-chinh-sinh-vien-116889.html,8/3/2026,not-stated,public-page
hust-student-affairs,data\hust_services\hust-student-affairs.md,Giới thiệu công tác sinh viên HUST,https://www.hust.edu.vn/vi/sinh-vien/cong-tac-sinh-vien/gioi-thieu-ve-cong-tac-sinh-vien-50960.html,8/3/2026,not-stated,public-page
hust-student-clubs,data\hust_services\hust-student-clubs.md,Câu lạc bộ sinh viên HUST,https://www.hust.edu.vn/vi/sinh-vien/hoat-dong-cua-sinh-vien/cau-lac-bo-sinh-vien-654597.html,8/3/2026,not-stated,public-page
hust-student-exchange-policy,data\hust_services\hust-student-exchange-policy.md,Chương trình trao đổi sinh viên HUST,https://www.hust.edu.vn/vi/sinh-vien/ho-tro-sinh-vien/chuong-trinh-trao-doi-sinh-vien-50980.html,8/3/2026,not-stated,public-page
hust-tran-dai-nghia-scholarship,data\hust_services\hust-tran-dai-nghia-scholarship.md,Học bổng Trần Đại Nghĩa HUST,https://www.hust.edu.vn/vi/sinh-vien/sinh-vien-hien-tai/truong-dai-hoc-bach-khoa-ha-noi-thanh-lap-hoc-bong-tran-dai-nghia-586666.html,8/3/2026,not-stated,public-page
hust-tuition-information,data\hust_services\hust-tuition-information.md,Thông tin học phí HUST,https://www.hust.edu.vn/vi/sinh-vien/hoc-bong-hoc-phi/hoc-phi-654580.html,8/3/2026,2025-2026,public-page
